,from,to,weight
23209,Baidali S.,Sirunyan A.M.,128
116632,Sirunyan A.M.,Vourliotis E.,128
98459,Neugebauer H.,Sirunyan A.M.,129
116435,Sirunyan A.M.,Valencia Palomo L.,129
97249,Müller D.,Sirunyan A.M.,129
61249,Guts S.,Sirunyan A.M.,130
108804,Pérez Adán D.,Sirunyan A.M.,130
116255,Sirunyan A.M.,Tomei T.R.F.P.,130
47243,Consuegra Rodríguez S.,Sirunyan A.M.,130
80080,Knünz V.,Sirunyan A.M.,130
23494,Baldenegro Barrera C.,Sirunyan A.M.,130
109908,Ratti M.G.,Sirunyan A.M.,130
97000,Muraleedharan Nair Bindhu V.K.,Sirunyan A.M.,131
93234,Marley D.,Sirunyan A.M.,131
24284,Barbieri R.,Sirunyan A.M.,132
122099,Tumasyan A.,Wang H.,132
94091,McDermott K.,Sirunyan A.M.,132
64529,Hoffmann M.,Sirunyan A.M.,133
94677,Meister D.,Sirunyan A.M.,133
94074,McColl N.,Sirunyan A.M.,134
26284,Bertl W.,Sirunyan A.M.,134
63079,He H.,Sirunyan A.M.,134
89898,Lloret Iglesias L.,Sirunyan A.M.,135
111027,Romero Abad D.,Sirunyan A.M.,136
16106,Alunni Solestizi L.,Sirunyan A.M.,137
111733,Rusakov S.V.,Sirunyan A.M.,137
16178,Aly R.,Sirunyan A.M.,138
20605,Assran Y.,Sirunyan A.M.,140
116084,Sirunyan A.M.,Sánchez Navas S.,140
116117,Sirunyan A.M.,Tamulaitis G.,140
117052,Sirunyan A.M.,Zito G.,142
113259,Santra A.,Sirunyan A.M.,143
94427,Medina Jaime M.,Sirunyan A.M.,144
114364,Seo S.H.,Sirunyan A.M.,145
33413,Centis Vignali M.,Sirunyan A.M.,145
116260,Sirunyan A.M.,Tomsa J.,147
33468,Cerri O.,Sirunyan A.M.,147
93029,Mao J.,Sirunyan A.M.,147
66148,Huertas Guativa L.M.,Sirunyan A.M.,148
13166,Agarwal G.,Sirunyan A.M.,148
110846,Roemer J.,Sirunyan A.M.,148
47940,Csorgo T.,Sirunyan A.M.,148
55278,Falmagne G.,Sirunyan A.M.,148
100585,Oh M.,Sirunyan A.M.,149
98033,Nash W.A.,Sirunyan A.M.,149
74666,Kaveh H.,Sirunyan A.M.,150
115984,Sirunyan A.M.,Stone B.,150
116791,Sirunyan A.M.,Wilson G.,150
68203,Ivanov T.,Sirunyan A.M.,150
116462,Sirunyan A.M.,Van Putte S.,150
91977,Mahmoud M.A.,Sirunyan A.M.,151
116346,Sirunyan A.M.,Tsiakkouri D.,151
101815,Pakhotin Y.,Sirunyan A.M.,153
116145,Sirunyan A.M.,Tatarinov A.,153
111152,Rose K.,Sirunyan A.M.,153
33615,Chahal G.S.,Sirunyan A.M.,154
92804,Manitara K.,Sirunyan A.M.,154
122186,Tumasyan A.,Yang S.,154
116164,Sirunyan A.M.,Teague D.,154
89946,Loeliger A.,Sirunyan A.M.,154
89575,Lisniak S.,Sirunyan A.M.,154
53928,Elgammal S.,Sirunyan A.M.,155
87386,Lemos D.S.,Sirunyan A.M.,155
115956,Sirunyan A.M.,Stefaniuk N.,155
59988,Gottmann A.,Sirunyan A.M.,155
116146,Sirunyan A.M.,Taurok A.,155
72814,Kalbhor P.,Sirunyan A.M.,156
115163,Sikdar A.K.,Sirunyan A.M.,156
117054,Sirunyan A.M.,Zlebcik R.,156
61281,Guzzi L.,Sirunyan A.M.,156
84267,Kveton A.,Sirunyan A.M.,156
53104,Dutta I.,Sirunyan A.M.,156
68188,Iuzhakov A.,Sirunyan A.M.,156
108407,Pujahari P.R.,Sirunyan A.M.,156
114218,Seif El Nasr-Storey S.,Sirunyan A.M.,157
63172,Hebda P.,Sirunyan A.M.,157
93410,Martins J.,Sirunyan A.M.,157
74443,Kaspar J.,Sirunyan A.M.,157
74112,Kargoll B.,Sirunyan A.M.,157
101399,Osterberg K.,Sirunyan A.M.,157
89455,Lindsey C.,Sirunyan A.M.,158
13266,Aguilar-Benitez M.,Sirunyan A.M.,158
57880,Gandrakota A.,Sirunyan A.M.,158
111211,Rossi B.,Sirunyan A.M.,158
100034,Novak T.,Sirunyan A.M.,158
116980,Sirunyan A.M.,Zecchinelli A.G.,158
116404,Sirunyan A.M.,Uniyal R.,158
26272,Bertacchi V.,Sirunyan A.M.,159
88572,Lidrych J.,Sirunyan A.M.,159
87869,Levine A.,Sirunyan A.M.,159
99756,Noll D.,Sirunyan A.M.,159
27703,Bols E.S.,Sirunyan A.M.,159
32134,Camen C.,Sirunyan A.M.,159
43805,Choi J.,Sirunyan A.M.,159
108045,Prisciandaro J.,Sirunyan A.M.,159
95854,Mondal S.,Sirunyan A.M.,159
69974,Jeong Y.,Sirunyan A.M.,159
116789,Sirunyan A.M.,Willmott C.,159
109004,Quast T.,Sirunyan A.M.,159
26866,Bhyun J.H.,Sirunyan A.M.,159
33379,Ceccarelli R.,Sirunyan A.M.,159
32677,Cardini A.,Sirunyan A.M.,159
77403,King J.,Sirunyan A.M.,159
56455,Fischer B.,Sirunyan A.M.,159
116930,Sirunyan A.M.,Yoon I.,159
102589,Papadimitriou V.,Sirunyan A.M.,159
114013,Schuler S.C.,Sirunyan A.M.,159
115274,Simsek A.E.,Sirunyan A.M.,159
20274,Asmuss P.,Sirunyan A.M.,159
29100,Borchsh V.,Sirunyan A.M.,160
116378,Sirunyan A.M.,Turini N.,160
116126,Sirunyan A.M.,Tannenwald B.,160
27697,Bologna S.,Sirunyan A.M.,160
20094,Asenov P.,Sirunyan A.M.,160
67545,Ioannou A.,Sirunyan A.M.,160
50813,Dharmaratna W.G.D.,Sirunyan A.M.,160
77044,Kim B.,Sirunyan A.M.,160
53111,Dutta S.,Tumasyan A.,160
29634,Braghieri A.,Sirunyan A.M.,160
51002,Diamantopoulou M.,Sirunyan A.M.,160
