,from,to,weight
1406,Hungary,Norway,2
106,Australia,Croatia,2
2169,Pakistan,Syrian Arab Republic,2
2331,Saudi Arabia,Senegal,2
719,China,Morocco,2
723,China,Nigeria,2
1763,Japan,Panama,2
1764,Japan,Peru,2
1767,Japan,Portugal,2
1781,Japan,Sudan,2
724,China,None,2
727,China,Papua New Guinea,2
732,China,Qatar,2
952,Denmark,Slovakia,2
953,Denmark,Slovenia,2
954,Denmark,South Africa,2
1677,Italy,Libya,2
1679,Italy,Luxembourg,2
1803,Kazakhstan,Netherlands,2
965,Dominican Republic,Pakistan,2
969,Ecuador,Ecuador,2
976,Ecuador,Israel,2
981,Ecuador,Netherlands,2
982,Ecuador,Pakistan,2
984,Ecuador,Poland,2
2326,Rwanda,Thailand,2
2033,Myanmar,Singapore,2
2043,Nepal,South Korea,2
114,Australia,Ghana,2
2210,Peru,South Korea,2
1370,Hong Kong,Macao,2
1482,India,Uruguay,2
1488,Indonesia,Jordan,2
1497,Indonesia,Poland,2
660,Chile,Iran,2
663,Chile,Jamaica,2
667,Chile,Netherlands,2
670,Chile,Peru,2
678,Chile,South Africa,2
683,Chile,Turkey,2
688,China,Colombia,2
988,Ecuador,Spain,2
1659,Israel,Ukraine,2
1665,Israel,Viet Nam,2
1667,Israel,Zambia,2
1673,Italy,Kenya,2
690,China,Croatia,2
1793,Japan,Zambia,2
1795,Jordan,Mexico,2
1802,Kazakhstan,Kazakhstan,2
650,Chad,Thailand,2
653,Chile,Egypt,2
654,Chile,Finland,2
656,Chile,Georgia,2
1006,Egypt,Japan,2
1011,Egypt,Morocco,2
2279,Portugal,Turkey,2
2020,Morocco,Poland,2
2021,Morocco,Slovakia,2
2023,Morocco,South Africa,2
2199,Paraguay,Singapore,2
2202,Peru,Poland,2
2204,Peru,Senegal,2
2026,Morocco,United Kingdom,2
2428,South Korea,Sweden,2
141,Australia,Papua New Guinea,2
2009,Mongolia,United Arab Emirates,2
1343,Greece,Viet Nam,2
1348,Guatemala,United Kingdom,2
1356,Haiti,Thailand,2
1833,Kuwait,South Korea,2
619,Canada,Rwanda,2
628,Canada,Sri Lanka,2
1804,Kazakhstan,New Zealand,2
1816,Kenya,Netherlands,2
2283,Puerto Rico,United States,2
2290,Romania,Romania,2
2291,Romania,Senegal,2
1024,Egypt,Spain,2
1026,Egypt,Sweden,2
1819,Kenya,Poland,2
1820,Kenya,Russian Federation,2
1983,Moldova,Thailand,2
602,Canada,Malta,2
608,Canada,New Zealand,2
2343,Senegal,Serbia,2
2344,Senegal,Singapore,2
2346,Senegal,South Africa,2
2348,Senegal,Spain,2
1033,Egypt,United Arab Emirates,2
1043,Estonia,India,2
2355,Serbia,Serbia,2
1829,Kuwait,Netherlands,2
1831,Kuwait,Poland,2
146,Australia,Romania,2
148,Australia,Rwanda,2
149,Australia,Saudi Arabia,2
150,Australia,Senegal,2
1847,Laos,Viet Nam,2
1848,Latvia,Mexico,2
1853,Lebanon,Netherlands,2
1054,Estonia,United Kingdom,2
1644,Israel,South Korea,2
1652,Israel,Tanzania,2
599,Canada,Macao,2
172,Austria,Belgium,2
174,Austria,Bulgaria,2
176,Austria,Chile,2
183,Austria,Denmark,2
2178,Pakistan,United Arab Emirates,2
1504,Indonesia,Sweden,2
1505,Indonesia,Switzerland,2
1508,Indonesia,Turkey,2
1982,Moldova,New Zealand,2
203,Austria,Kazakhstan,2
204,Austria,Latvia,2
1868,Lithuania,Malaysia,2
1869,Lithuania,Mexico,2
544,Cameroon,Indonesia,2
546,Cameroon,Israel,2
555,Cameroon,Pakistan,2
557,Cameroon,Saudi Arabia,2
1058,Ethiopia,Israel,2
1062,Ethiopia,Pakistan,2
569,Canada,Colombia,2
571,Canada,Czech Republic,2
586,Canada,Indonesia,2
594,Canada,Kenya,2
595,Canada,Kuwait,2
1839,Kyrgyzstan,Malaysia,2
533,Cambodia,South Africa,2
534,Cambodia,South Korea,2
1079,Finland,Indonesia,2
1082,Finland,Israel,2
1088,Finland,New Zealand,2
1090,Finland,Pakistan,2
1091,Finland,Peru,2
1093,Finland,Portugal,2
1100,Finland,Sri Lanka,2
1984,Moldova,United States,2
1992,Mongolia,Pakistan,2
184,Austria,Ecuador,2
187,Austria,Finland,2
197,Austria,Indonesia,2
199,Austria,Ireland,2
200,Austria,Israel,2
1301,Ghana,Japan,2
1302,Ghana,Malaysia,2
487,Bulgaria,Egypt,2
490,Bulgaria,Georgia,2
1629,Israel,Paraguay,2
1639,Israel,Serbia,2
2263,Poland,United Arab Emirates,2
2269,Portugal,Singapore,2
2271,Portugal,Slovenia,2
2364,Serbia,United States,2
2367,Sierra Leone,United States,2
504,Bulgaria,Senegal,2
505,Bulgaria,Slovakia,2
519,Cambodia,Cambodia,2
530,Cambodia,Russian Federation,2
531,Cambodia,Saudi Arabia,2
1139,France,Mongolia,2
454,Brazil,Singapore,2
473,Brunei Darussalam,Hong Kong,2
1611,Israel,Mali,2
1612,Israel,Mauritania,2
1614,Israel,Mongolia,2
1620,Israel,New Zealand,2
1877,Luxembourg,Sweden,2
1322,Greece,Israel,2
212,Austria,Nepal,2
214,Austria,New Zealand,2
217,Austria,Oman,2
2079,New Zealand,Portugal,2
2081,New Zealand,Senegal,2
1299,Ghana,Israel,2
1300,Ghana,Italy,2
2246,Poland,Saudi Arabia,2
1592,Ireland,Turkey,2
442,Brazil,New Zealand,2
445,Brazil,Peru,2
1894,Malaysia,Mauritius,2
1895,Malaysia,Mexico,2
446,Brazil,Philippines,2
448,Brazil,Portugal,2
1126,France,Kuwait,2
1128,France,Laos,2
1130,France,Lebanon,2
1525,Iran,Mongolia,2
1305,Ghana,Norway,2
1547,Iran,Sweden,2
2463,Sudan,United Kingdom,2
1296,Ghana,Ghana,2
2382,Singapore,Uruguay,2
438,Brazil,Mongolia,2
1146,France,Nigeria,2
1170,France,Sudan,2
1976,Mexico,Ukraine,2
224,Austria,Romania,2
226,Austria,Saudi Arabia,2
227,Austria,Senegal,2
229,Austria,Singapore,2
239,Austria,Tunisia,2
1262,Germany,Nigeria,2
2223,Philippines,Saudi Arabia,2
2458,Sri Lanka,Turkey,2
2459,Sri Lanka,United States,2
242,Austria,United Arab Emirates,2
249,Azerbaijan,Italy,2
424,Brazil,Haiti,2
429,Brazil,Iraq,2
252,Bahrain,France,2
269,Bangladesh,Germany,2
272,Bangladesh,Indonesia,2
282,Bangladesh,Slovakia,2
284,Bangladesh,Taiwan,2
1953,Mexico,Palestine,2
2476,Switzerland,Tanzania,2
2486,Syrian Arab Republic,Syrian Arab Republic,2
1562,Iraq,Pakistan,2
2151,Pakistan,Qatar,2
2152,Pakistan,Romania,2
2154,Pakistan,Rwanda,2
435,Brazil,Malawi,2
1908,Malaysia,Qatar,2
1573,Iraq,United States,2
1581,Ireland,Pakistan,2
1582,Ireland,Peru,2
1585,Ireland,Senegal,2
1587,Ireland,Slovakia,2
1588,Ireland,South Korea,2
358,Bhutan,Indonesia,2
374,Bhutan,United Kingdom,2
383,Bolivia,Mexico,2
385,Bolivia,Philippines,2
386,Bolivia,Senegal,2
387,Bolivia,Singapore,2
391,Bosnia and Herzegovina,Italy,2
392,Bosnia and Herzegovina,Japan,2
402,Botswana,Italy,2
414,Brazil,Costa Rica,2
1190,Gambia,United States,2
1191,Georgia,Georgia,2
1209,Georgia,Netherlands,2
1210,Georgia,New Zealand,2
1211,Georgia,Norway,2
1212,Georgia,Pakistan,2
2402,Slovenia,Switzerland,2
2403,Slovenia,Taiwan,2
330,Belgium,Russian Federation,2
1918,Malaysia,Spain,2
1925,Malaysia,Tunisia,2
1926,Malaysia,Turkey,2
341,Belgium,Ukraine,2
345,Belgium,Viet Nam,2
346,Belize,Pakistan,2
348,Benin,India,2
2230,Philippines,Sri Lanka,2
2231,Philippines,Sweden,2
2240,Philippines,Zambia,2
1221,Georgia,Serbia,2
1222,Georgia,Slovakia,2
2157,Pakistan,Serbia,2
2161,Pakistan,Slovenia,2
1565,Iraq,Serbia,2
1572,Iraq,United Kingdom,2
1937,Malta,United Kingdom,2
1944,Mexico,Mongolia,2
1946,Mexico,Namibia,2
1949,Mexico,Nigeria,2
1951,Mexico,Norway,2
2388,Slovakia,Sweden,2
2390,Slovakia,Taiwan,2
54,Argentina,Poland,2
56,Argentina,Slovakia,2
2437,South Korea,United Arab Emirates,2
1954,Mexico,Peru,2
1955,Mexico,Philippines,2
1957,Mexico,Portugal,2
1961,Mexico,Saudi Arabia,2
1962,Mexico,Senegal,2
1963,Mexico,Serbia,2
2069,Netherlands,United Arab Emirates,2
288,Belarus,France,2
289,Belarus,Georgia,2
296,Belarus,Switzerland,2
298,Belarus,United Kingdom,2
1233,Georgia,Ukraine,2
2229,Philippines,Spain,2
1462,India,Serbia,2
888,Czech Republic,Egypt,2
797,Colombia,Serbia,2
801,Colombia,South Africa,2
803,Colombia,Spain,2
804,Colombia,Sweden,2
810,Colombia,Ukraine,2
816,Costa Rica,Egypt,2
862,Cuba,France,2
821,Costa Rica,Italy,2
824,Costa Rica,Pakistan,2
825,Costa Rica,Poland,2
2181,Pakistan,Uzbekistan,2
45,Argentina,Israel,2
83,Armenia,Pakistan,2
85,Armenia,Russian Federation,2
35,Argentina,China,2
4,"""Cote dIvoire""",United States,2
3,"""Cote dIvoire""",Switzerland,2
21,Algeria,Italy,2
2,"""Cote dIvoire""",South Africa,3
2521,Ukraine,United Kingdom,3
30,Algeria,Viet Nam,3
2194,Papua New Guinea,Thailand,3
1430,India,Ireland,3
1443,India,Morocco,3
25,Algeria,Poland,3
53,Argentina,Peru,3
59,Argentina,Spain,3
1960,Mexico,Rwanda,3
1964,Mexico,Singapore,3
292,Belarus,Iran,3
295,Belarus,Poland,3
1239,Germany,Hong Kong,3
303,Belgium,Chile,3
308,Belgium,Finland,3
2401,Slovenia,Sweden,3
1194,Georgia,Hong Kong,3
1206,Georgia,Malaysia,3
329,Belgium,Romania,3
331,Belgium,Singapore,3
340,Belgium,Turkey,3
1577,Ireland,Japan,3
1586,Ireland,Singapore,3
1179,France,United Arab Emirates,3
425,Brazil,Hungary,3
277,Bangladesh,Mongolia,3
1555,Iran,Uzbekistan,3
2153,Pakistan,Russian Federation,3
2487,Syrian Arab Republic,Thailand,3
431,Brazil,Israel,3
436,Brazil,Malaysia,3
2374,Singapore,Sweden,3
2086,New Zealand,Sweden,3
2090,New Zealand,Turkey,3
1907,Malaysia,Portugal,3
2385,Slovakia,Slovenia,3
2387,Slovakia,Spain,3
1152,France,Peru,3
1157,France,Qatar,3
218,Austria,Pakistan,3
228,Austria,Serbia,3
233,Austria,South Korea,3
1259,Germany,Myanmar,3
1175,France,Tunisia,3
1901,Malaysia,None,3
2085,New Zealand,Spain,3
450,Brazil,Russian Federation,3
1131,France,Lithuania,3
1521,Iran,Latvia,3
1522,Iran,Lithuania,3
1526,Iran,Montenegro,3
1528,Iran,Netherlands,3
1530,Iran,Norway,3
1534,Iran,Portugal,3
1535,Iran,Puerto Rico,3
1536,Iran,Qatar,3
1537,Iran,Romania,3
1539,Iran,Saudi Arabia,3
2467,Sweden,Taiwan,3
1141,France,Morocco,3
452,Brazil,Saudi Arabia,3
456,Brazil,Slovenia,3
460,Brazil,Sweden,3
1116,France,Indonesia,3
1615,Israel,Morocco,3
1616,Israel,Mozambique,3
1619,Israel,Netherlands,3
1320,Greece,India,3
215,Austria,Nigeria,3
2080,New Zealand,Russian Federation,3
2082,New Zealand,Singapore,3
1972,Mexico,Taiwan,3
1514,Iran,Ireland,3
1878,Luxembourg,Thailand,3
498,Bulgaria,Mexico,3
499,Bulgaria,Netherlands,3
2357,Serbia,Slovakia,3
2266,Poland,Uruguay,3
2369,Singapore,Slovakia,3
525,Cambodia,Japan,3
1087,Finland,Netherlands,3
1094,Finland,Russian Federation,3
185,Austria,Egypt,3
194,Austria,Hungary,3
205,Austria,Lebanon,3
1306,Ghana,Pakistan,3
1313,Ghana,Switzerland,3
1316,Ghana,United Kingdom,3
1318,Greece,Greece,3
1858,Lebanon,South Korea,3
548,Cameroon,Jordan,3
1059,Ethiopia,Italy,3
1075,Finland,Georgia,3
572,Canada,Democratic Republic Congo,3
575,Canada,Egypt,3
587,Canada,Iran,3
589,Canada,Ireland,3
1852,Lebanon,Malaysia,3
1048,Estonia,Pakistan,3
600,Canada,Malawi,3
171,Austria,Bangladesh,3
180,Austria,Croatia,3
182,Austria,Czech Republic,3
1333,Greece,Slovakia,3
1500,Indonesia,Saudi Arabia,3
1336,Greece,Spain,3
611,Canada,Norway,3
1034,Egypt,United Kingdom,3
1040,Estonia,France,3
1044,Estonia,Iran,3
1826,Kenya,United Arab Emirates,3
2003,Mongolia,Spain,3
2005,Mongolia,Sweden,3
1337,Greece,Sweden,3
1349,Guinea,United States,3
1355,Haiti,South Africa,3
2412,South Africa,Sweden,3
2415,South Africa,Tanzania,3
2418,South Africa,United Arab Emirates,3
1832,Kuwait,South Africa,3
620,Canada,Saudi Arabia,3
629,Canada,Sudan,3
1807,Kazakhstan,Poland,3
1815,Kenya,Mexico,3
1019,Egypt,Rwanda,3
1021,Egypt,Singapore,3
1022,Egypt,South Africa,3
641,Canada,Viet Nam,3
652,Chile,Colombia,3
998,Egypt,Hong Kong,3
1003,Egypt,Israel,3
1009,Egypt,Mexico,3
1374,Hong Kong,Netherlands,3
2423,South Africa,Zimbabwe,3
2013,Mongolia,Viet Nam,3
1359,Honduras,India,3
2208,Peru,Slovakia,3
2025,Morocco,Turkey,3
2427,South Korea,Sri Lanka,3
665,Chile,Malaysia,3
679,Chile,South Korea,3
1658,Israel,Uganda,3
1798,Jordan,South Korea,3
1799,Jordan,Thailand,3
1800,Jordan,United Kingdom,3
700,China,Greece,3
974,Ecuador,Hong Kong,3
2032,Myanmar,Philippines,3
2039,Myanmar,Viet Nam,3
2040,Nepal,Nepal,3
115,Australia,Greece,3
1491,Indonesia,Mongolia,3
1492,Indonesia,Myanmar,3
2166,Pakistan,Sri Lanka,3
2334,Saudi Arabia,South Korea,3
2336,Saudi Arabia,Taiwan,3
715,China,Lebanon,3
720,China,Nepal,3
1773,Japan,Serbia,3
1775,Japan,Slovakia,3
728,China,Peru,3
1680,Italy,Macao,3
1684,Italy,Mongolia,3
1696,Italy,Palestine,3
1416,Hungary,United Kingdom,3
1420,Iceland,Italy,3
1381,Hong Kong,Rwanda,3
1385,Hong Kong,South Africa,3
1389,Hong Kong,Switzerland,3
1397,Hungary,Hungary,3
1405,Hungary,Netherlands,3
741,China,Slovenia,3
2104,Nigeria,Slovakia,3
1760,Japan,North Macedonia,3
920,Democratic Republic Congo,Israel,3
2316,Russian Federation,Uganda,3
766,Colombia,Georgia,3
896,Czech Republic,Iran,3
898,Czech Republic,Israel,3
906,Czech Republic,Portugal,3
909,Czech Republic,Slovakia,3
789,Colombia,Peru,3
2100,Nigeria,Rwanda,3
98,Australia,Brunei Darussalam,3
100,Australia,Cambodia,3
101,Australia,Cameroon,3
802,Colombia,South Korea,3
806,Colombia,Taiwan,3
865,Cuba,Malaysia,3
870,Cyprus,France,3
822,Costa Rica,Mexico,3
1449,India,Norway,3
72,Armenia,France,3
77,Armenia,Iran,3
2508,Thailand,Zambia,3
1429,India,Iraq,3
2185,Palestine,Poland,3
832,Costa Rica,United States,3
834,Croatia,Georgia,3
1739,Jamaica,Thailand,3
2496,Tanzania,United States,3
2122,North Macedonia,Poland,3
2125,North Macedonia,United Kingdom,3
1732,Italy,Uzbekistan,3
856,Croatia,Thailand,3
845,Croatia,New Zealand,3
41,Argentina,Germany,3
2531,United States,Uruguay,4
15,Algeria,Algeria,4
1412,Hungary,Spain,4
2052,Netherlands,Philippines,4
2509,Thailand,Zimbabwe,4
86,Armenia,Saudi Arabia,4
1375,Hong Kong,New Zealand,4
195,Austria,Iceland,4
193,Austria,Hong Kong,4
178,Austria,Colombia,4
42,Argentina,India,4
2414,South Africa,Taiwan,4
2410,South Africa,South Korea,4
2010,Mongolia,United Kingdom,4
2007,Mongolia,Thailand,4
209,Austria,Mexico,4
202,Austria,Japan,4
258,Bahrain,Thailand,4
2078,New Zealand,Poland,4
216,Austria,Norway,4
164,Australia,United Arab Emirates,4
297,Belarus,Thailand,4
291,Belarus,India,4
1966,Mexico,Slovenia,4
1958,Mexico,Romania,4
286,Bangladesh,United Kingdom,4
281,Bangladesh,Saudi Arabia,4
273,Bangladesh,Israel,4
325,Belgium,Norway,4
319,Belgium,Japan,4
1948,Mexico,New Zealand,4
307,Belgium,Egypt,4
430,Brazil,Ireland,4
406,Botswana,United States,4
333,Belgium,South Africa,4
1927,Malaysia,United Arab Emirates,4
1325,Greece,Mexico,4
1520,Iran,Kuwait,4
1889,Malawi,South Africa,4
440,Brazil,Nepal,4
2378,Singapore,Turkey,4
1909,Malaysia,Russian Federation,4
2088,New Zealand,Taiwan,4
479,Brunei Darussalam,Thailand,4
455,Brazil,Slovakia,4
2084,New Zealand,South Korea,4
1897,Malaysia,Nepal,4
1892,Malawi,United States,4
1890,Malawi,Thailand,4
1863,Lebanon,United States,4
526,Cambodia,Laos,4
523,Cambodia,India,4
512,Bulgaria,United States,4
1515,Iran,Israel,4
598,Canada,Lithuania,4
1854,Lebanon,Pakistan,4
1849,Latvia,Pakistan,4
561,Cameroon,Thailand,4
1827,Kenya,United Kingdom,4
618,Canada,Russian Federation,4
2351,Senegal,Turkey,4
2350,Senegal,Thailand,4
2347,Senegal,South Korea,4
2345,Senegal,Slovakia,4
614,Canada,Peru,4
609,Canada,Nigeria,4
661,Chile,Israel,4
637,Canada,United Arab Emirates,4
621,Canada,Senegal,4
2226,Philippines,Slovakia,4
1268,Germany,Peru,4
674,Chile,Senegal,4
134,Australia,Morocco,4
2426,South Korea,Spain,4
2024,Morocco,Thailand,4
127,Australia,Jordan,4
2328,Rwanda,United States,4
712,China,Kazakhstan,4
731,China,Portugal,4
725,China,Norway,4
1780,Japan,Sri Lanka,4
1772,Japan,Senegal,4
1769,Japan,Russian Federation,4
2332,Saudi Arabia,Singapore,4
145,Australia,Portugal,4
2484,Switzerland,Uzbekistan,4
1230,Georgia,Taiwan,4
1224,Georgia,South Africa,4
764,Colombia,Finland,4
2320,Russian Federation,Viet Nam,4
2310,Russian Federation,Spain,4
2114,None,Poland,4
737,China,Senegal,4
799,Colombia,Slovakia,4
2101,Nigeria,Senegal,4
782,Colombia,Netherlands,4
771,Colombia,India,4
2302,Romania,United States,4
844,Croatia,Netherlands,4
840,Croatia,Japan,4
2501,Thailand,Ukraine,4
1738,Jamaica,South Africa,4
2454,Sri Lanka,Sri Lanka,4
1208,Georgia,Morocco,4
1199,Georgia,Israel,4
1195,Georgia,Hungary,4
2259,Poland,Tunisia,4
2251,Poland,South Africa,4
1726,Italy,Uganda,4
2131,Norway,Romania,4
930,Denmark,Finland,4
927,Democratic Republic Congo,United States,4
891,Czech Republic,Georgia,4
885,Cyprus,United Kingdom,4
2121,North Macedonia,Pakistan,4
1595,Israel,Israel,4
947,Denmark,Philippines,4
945,Denmark,Pakistan,4
2145,Oman,Thailand,4
1651,Israel,Taiwan,4
1641,Israel,Slovakia,4
1017,Egypt,Philippines,4
2285,Qatar,Switzerland,4
2262,Poland,Ukraine,4
1089,Finland,None,4
1085,Finland,Mexico,4
1129,France,Latvia,4
1125,France,Kenya,4
1124,France,Kazakhstan,4
1613,Israel,Mexico,4
2274,Portugal,Sweden,4
1638,Israel,Senegal,4
1635,Israel,Russian Federation,4
2034,Myanmar,South Korea,4
107,Australia,Czech Republic,4
105,Australia,Colombia,4
1156,France,Puerto Rico,4
1153,France,Philippines,4
1479,India,United Arab Emirates,4
1465,India,Slovenia,4
1464,India,Slovakia,4
1455,India,Portugal,4
1404,Hungary,Mexico,4
1398,Hungary,India,4
2061,Netherlands,South Africa,4
2057,Netherlands,Senegal,4
2183,Pakistan,Viet Nam,4
38,Argentina,Finland,5
17,Algeria,France,5
1149,France,Norway,5
2066,Netherlands,Taiwan,5
1098,Finland,South Korea,5
2261,Poland,Uganda,5
230,Austria,Slovakia,5
1113,France,Hong Kong,5
573,Canada,Denmark,5
154,Australia,Slovenia,5
1625,Israel,Norway,5
657,Chile,Germany,5
1814,Kenya,Kenya,5
1817,Kenya,Pakistan,5
634,Canada,Turkey,5
231,Austria,Slovenia,5
968,Dominican Republic,United States,5
992,Ecuador,United States,5
1674,Italy,Kuwait,5
995,Egypt,Georgia,5
935,Denmark,India,5
1365,Hong Kong,Indonesia,5
1531,Iran,Pakistan,5
2461,Sudan,Thailand,5
2220,Philippines,Poland,5
2215,Peru,Turkey,5
1265,Germany,Norway,5
1277,Germany,Senegal,5
958,Denmark,Switzerland,5
2134,Norway,Sweden,5
2133,Norway,Slovakia,5
1692,Italy,Nigeria,5
2211,Peru,Spain,5
302,Belgium,Canada,5
2011,Mongolia,United States,5
2435,South Korea,Turkey,5
1898,Malaysia,Netherlands,5
1896,Malaysia,Myanmar,5
532,Cambodia,Singapore,5
2370,Singapore,South Africa,5
312,Belgium,Hong Kong,5
310,Belgium,Georgia,5
2449,Spain,Taiwan,5
1228,Georgia,Sweden,5
1218,Georgia,Romania,5
1578,Ireland,Mexico,5
1965,Mexico,Slovakia,5
890,Czech Republic,France,5
2148,Pakistan,Philippines,5
2250,Poland,Slovenia,5
1708,Italy,Saudi Arabia,5
889,Czech Republic,Finland,5
327,Belgium,Philippines,5
2396,Slovenia,Slovenia,5
275,Bangladesh,Japan,5
278,Bangladesh,Pakistan,5
1733,Italy,Viet Nam,5
673,Chile,Saudi Arabia,5
676,Chile,Slovakia,5
706,China,Iraq,5
470,Brunei Darussalam,China,5
1685,Italy,Montenegro,5
1699,Italy,Peru,5
940,Denmark,Mexico,5
2384,Slovakia,Slovakia,5
434,Brazil,Kuwait,5
2375,Singapore,Switzerland,5
879,Cyprus,Poland,5
1178,France,Ukraine,5
413,Brazil,Colombia,5
175,Austria,Canada,5
189,Austria,Georgia,5
1916,Malaysia,South Africa,5
808,Colombia,Turkey,5
1567,Iraq,South Korea,5
1372,Hong Kong,Mexico,5
80,Armenia,Mexico,5
1838,Kuwait,United States,5
590,Canada,Israel,5
583,Canada,Hungary,5
94,Australia,Bangladesh,5
2030,Myanmar,Myanmar,5
2038,Myanmar,United States,5
2041,Nepal,Pakistan,5
58,Argentina,South Korea,5
167,Australia,Uruguay,5
1755,Japan,Nepal,5
785,Colombia,None,5
1334,Greece,South Africa,5
1314,Ghana,Thailand,5
2176,Pakistan,Uganda,5
1650,Israel,Switzerland,6
971,Ecuador,France,6
1540,Iran,Serbia,6
975,Ecuador,Iran,6
2207,Peru,Singapore,6
2076,New Zealand,Pakistan,6
1495,Indonesia,Pakistan,6
1494,Indonesia,Netherlands,6
1490,Indonesia,Mexico,6
1486,Indonesia,Italy,6
681,Chile,Switzerland,6
1594,Ireland,United States,6
1959,Mexico,Russian Federation,6
453,Brazil,Senegal,6
1161,France,Saudi Arabia,6
1158,France,Romania,6
1835,Kuwait,Thailand,6
1837,Kuwait,United Kingdom,6
2464,Sudan,United States,6
1541,Iran,Slovakia,6
1362,Honduras,United States,6
1078,Finland,India,6
2056,Netherlands,Russian Federation,6
1118,France,Ireland,6
1119,France,Israel,6
75,Armenia,India,6
27,Algeria,Thailand,6
1469,India,Sri Lanka,6
33,Argentina,Brazil,6
604,Canada,Mongolia,6
493,Bulgaria,Iran,6
256,Bahrain,Pakistan,6
616,Canada,Portugal,6
1018,Egypt,Poland,6
1053,Estonia,Thailand,6
1055,Estonia,United States,6
1645,Israel,Spain,6
773,Colombia,Iran,6
2301,Romania,United Kingdom,6
2372,Singapore,Spain,6
2095,Nigeria,Nigeria,6
1252,Germany,Lebanon,6
1215,Georgia,Portugal,6
1214,Georgia,Poland,6
875,Cyprus,Iran,6
2362,Serbia,Turkey,6
142,Australia,Peru,6
129,Australia,Kenya,6
1777,Japan,South Africa,6
538,Cambodia,Viet Nam,6
280,Bangladesh,Poland,6
902,Czech Republic,Netherlands,6
2303,Russian Federation,Russian Federation,6
955,Denmark,South Korea,6
1552,Iran,Ukraine,6
1556,Iran,Viet Nam,6
465,Brazil,Turkey,6
956,Denmark,Spain,6
781,Colombia,Mexico,6
1327,Greece,Netherlands,6
2177,Pakistan,Ukraine,6
2051,Netherlands,Peru,6
754,China,United Arab Emirates,6
2106,Nigeria,South Africa,6
2102,Nigeria,Serbia,6
742,China,South Africa,6
2273,Portugal,Spain,6
1282,Germany,South Africa,6
52,Argentina,Pakistan,6
2047,Netherlands,New Zealand,6
588,Canada,Iraq,7
581,Canada,Greece,7
1281,Germany,Slovenia,7
2268,Portugal,Portugal,7
2270,Portugal,Slovakia,7
2407,Slovenia,United States,7
2524,United Arab Emirates,United Kingdom,7
177,Austria,China,7
1754,Japan,Myanmar,7
439,Brazil,Mozambique,7
1517,Iran,Japan,7
842,Croatia,Mexico,7
796,Colombia,Senegal,7
1324,Greece,Japan,7
2111,Nigeria,United Kingdom,7
744,China,Spain,7
419,Brazil,Finland,7
301,Belgium,Bulgaria,7
852,Croatia,Slovakia,7
375,Bhutan,United States,7
326,Belgium,Pakistan,7
506,Bulgaria,South Korea,7
2422,South Africa,Viet Nam,7
707,China,Ireland,7
1193,Georgia,Greece,7
322,Belgium,Mexico,7
1952,Mexico,Pakistan,7
1207,Georgia,Mexico,7
1245,Germany,Israel,7
1242,Germany,Indonesia,7
1549,Iran,Taiwan,7
484,Bulgaria,China,7
1162,France,Serbia,7
2120,None,United States,7
1169,France,Sri Lanka,7
2128,Norway,Pakistan,7
1822,Kenya,South Africa,7
2353,Senegal,United Kingdom,7
2406,Slovenia,United Kingdom,7
2002,Mongolia,South Korea,7
942,Denmark,Netherlands,7
1357,Haiti,United States,7
990,Ecuador,Thailand,7
1073,Finland,Finland,7
2064,Netherlands,Sweden,7
1409,Hungary,Portugal,7
93,Australia,Austria,7
234,Austria,Spain,7
492,Bulgaria,India,7
235,Austria,Sweden,7
624,Canada,Slovakia,7
1657,Israel,Turkey,7
686,Chile,Viet Nam,7
458,Brazil,South Korea,7
1558,Iraq,Israel,7
1561,Iraq,Malaysia,7
1513,Iran,Iraq,7
55,Argentina,Singapore,8
89,Armenia,Thailand,8
1377,Hong Kong,Pakistan,8
2156,Pakistan,Senegal,8
2112,Nigeria,United States,8
798,Colombia,Singapore,8
2170,Pakistan,Taiwan,8
905,Czech Republic,Poland,8
1728,Italy,United Arab Emirates,8
1970,Mexico,Sweden,8
858,Croatia,United Kingdom,8
722,China,New Zealand,8
1945,Mexico,Morocco,8
390,Bolivia,United States,8
537,Cambodia,United States,8
833,Croatia,France,8
482,Bulgaria,Bulgaria,8
1583,Ireland,Poland,8
2091,New Zealand,United Kingdom,8
848,Croatia,Poland,8
2299,Romania,Thailand,8
1304,Ghana,Nigeria,8
1523,Iran,Malaysia,8
2159,Pakistan,Singapore,8
2163,Pakistan,South Africa,8
95,Australia,Belgium,8
1394,Hong Kong,United Kingdom,8
2062,Netherlands,South Korea,8
2281,Portugal,United States,8
1269,Germany,Philippines,8
1529,Iran,New Zealand,8
2286,Qatar,Thailand,8
1672,Italy,Kazakhstan,8
1703,Italy,Puerto Rico,8
1485,Indonesia,Israel,8
694,China,Ecuador,8
1782,Japan,Sweden,8
944,Denmark,Norway,8
1678,Italy,Lithuania,8
1809,Kazakhstan,Russian Federation,8
655,Chile,France,8
2349,Senegal,Sweden,8
567,Canada,Chile,8
570,Canada,Croatia,8
2213,Peru,Switzerland,8
1023,Egypt,South Korea,8
237,Austria,Taiwan,8
1066,Ethiopia,Thailand,8
1092,Finland,Poland,8
240,Austria,Turkey,8
1155,France,Portugal,8
2534,United States,Zimbabwe,8
1447,India,New Zealand,9
1396,Hong Kong,Viet Nam,9
564,Cameroon,United States,9
1417,Hungary,United States,9
1295,Germany,Viet Nam,9
2096,Nigeria,Pakistan,9
